CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97450,170,0.005,0.038,4.54,0.773,0.081,0.043,312,44,1424,8,4,0.006
V97449,167,0.005,0.039,4.55,0.779,0.083,0.045,324,46,1428,9,4,0.005
V97447,168,0.005,0.045,4.58,0.672,0.076,0.043,368,53,1462,10,5,0.007
V97445,171,0.005,0.045,4.58,0.495,0.058,0.043,367,53,1339,10,5,0.006
V97443,175,0.005,0.034,4.56,0.731,0.081,0.046,314,45,1441,9,5,0.003
V97442,177,0.005,0.032,4.54,0.725,0.079,0.045,291,46,1388,8,4,0.006
V97441,176,0.005,0.037,4.53,0.591,0.07,0.044,328,47,1408,9,4,0.006
V97439,177,0.005,0.044,4.57,0.512,0.066,0.043,360,52,1418,10,5,0.004
V97438,177,0.005,0.044,4.54,0.685,0.069,0.042,341,59,1387,9,5,0.004
V97437,169,0.005,0.051,4.52,0.528,0.069,0.042,462,57,1361,13,6,0.006
V97436,174,0.005,0.052,4.55,0.429,0.059,0.041,402,63,1363,11,5,0.005
V97435,175,0.005,0.044,4.53,0.442,0.059,0.042,368,52,1395,11,5,0.005
V97434,167,0.005,0.055,4.52,0.446,0.048,0.04,414,65,1382,11,6,0.006
V97433,169,0.005,0.063,4.48,0.389,0.034,0.038,447,63,1385,13,6,0.014
V97432,166,0.005,0.045,4.51,0.387,0.057,0.042,379,54,1398,9,4,0.008
V97431,169,0.005,0.039,4.55,0.552,0.066,0.042,332,48,1402,9,5,0.005
V97430,168,0.005,0.036,4.54,0.572,0.066,0.041,331,46,1352,9,4,0.005
V97429,174,0.005,0.044,4.58,0.57,0.066,0.045,362,53,1369,10,5,0.004
V97428,166,0.008,0.037,4.61,0.63,0.064,0.045,316,45,1442,8,4,0.006
V97427,167,0.008,0.036,4.63,0.64,0.07,0.046,310,44,1423,8,4,0.006
V97425,167,0.008,0.03,4.56,0.756,0.085,0.047,276,41,1360,7,4,0.005
